Review,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_stemming,text_final
bgussse,bgussse,bgussse,bgussse,['bgussse'],['bgussse'],['bgussse'],bgussse
"ini Shopee Food Gimana Masak Costamer Mau pesen Apa harus pakek Paylater .. gratis ongkir nya di buat Shopepaylater semua , dahal Pendapatan shopee banyak dari instan kalau ada Gratis Ongkir 3k/4k .. ini kok Di beban kan semua dari Driver maupun Costamer ., nama Nya Di ganti aja Shope pinjol",ini Shopee Food Gimana Masak Costamer Mau pesen Apa harus pakek Paylater gratis ongkir nya di buat Shopepaylater semua dahal Pendapatan shopee banyak dari instan kalau ada Gratis Ongkir k k ini kok Di beban kan semua dari Driver maupun Costamer nama Nya Di ganti aja Shope pinjol,ini shopee food gimana masak costamer mau pesen apa harus pakek paylater gratis ongkir nya di buat shopepaylater semua dahal pendapatan shopee banyak dari instan kalau ada gratis ongkir k k ini kok di beban kan semua dari driver maupun costamer nama nya di ganti aja shope pinjol,ini shopee food gimana masak costamer mau pesen apa harus pakek paylater gratis ongkir nya di buat shopepaylater semua dahal pendapatan shopee banyak dari instan kalau ada gratis ongkir k k ini kok di beban kan semua dari driver maupun costamer nama nya di ganti aja shope pinjol,"['ini', 'shopee', 'food', 'gimana', 'masak', 'costamer', 'mau', 'pesen', 'apa', 'harus', 'pakek', 'paylater', 'gratis', 'ongkir', 'nya', 'di', 'buat', 'shopepaylater', 'semua', 'dahal', 'pendapatan', 'shopee', 'banyak', 'dari', 'instan', 'kalau', 'ada', 'gratis', 'ongkir', 'k', 'k', 'ini', 'kok', 'di', 'beban', 'kan', 'semua', 'dari', 'driver', 'maupun', 'costamer', 'nama', 'nya', 'di', 'ganti', 'aja', 'shope', 'pinjol']","['shopee', 'food', 'gimana', 'masak', 'costamer', 'pesen', 'pakek', 'paylater', 'gratis', 'ongkir', 'shopepaylater', 'dahal', 'pendapatan', 'shopee', 'instan', 'gratis', 'ongkir', 'k', 'k', 'beban', 'driver', 'costamer', 'nama', 'ganti', 'aja', 'shope', 'pinjol']","['shopee', 'food', 'gimana', 'masak', 'costamer', 'sen', 'pakek', 'paylater', 'gratis', 'ongkir', 'shopepaylater', 'dahal', 'dapat', 'shopee', 'instan', 'gratis', 'ongkir', 'k', 'k', 'beban', 'driver', 'costamer', 'nama', 'ganti', 'aja', 'shope', 'pinjol']",shopee food gimana masak costamer sen pakek paylater gratis ongkir shopepaylater dahal dapat shopee instan gratis ongkir k k beban driver costamer nama ganti aja shope pinjol
"mau bikin akun baru di bagian verifikasi nya bleng putih gak bisa muncul untuk verifikasi geser sebelum ke bagian masukan kode ,udah coba beberapa kali tetap sama aja gak muncul hanya bleng putih payahhh",mau bikin akun baru di bagian verifikasi nya bleng putih gak bisa muncul untuk verifikasi geser sebelum ke bagian masukan kode udah coba beberapa kali tetap sama aja gak muncul hanya bleng putih payahhh,mau bikin akun baru di bagian verifikasi nya bleng putih gak bisa muncul untuk verifikasi geser sebelum ke bagian masukan kode udah coba beberapa kali tetap sama aja gak muncul hanya bleng putih payahhh,mau bikin akun baru di bagian verifikasi nya bleng putih tidak bisa muncul untuk verifikasi geser sebelum ke bagian masukan kode sudah coba beberapa kali tetap sama aja tidak muncul hanya bleng putih payahhh,"['mau', 'bikin', 'akun', 'baru', 'di', 'bagian', 'verifikasi', 'nya', 'bleng', 'putih', 'tidak', 'bisa', 'muncul', 'untuk', 'verifikasi', 'geser', 'sebelum', 'ke', 'bagian', 'masukan', 'kode', 'sudah', 'coba', 'beberapa', 'kali', 'tetap', 'sama', 'aja', 'tidak', 'muncul', 'hanya', 'bleng', 'putih', 'payahhh']","['bikin', 'akun', 'verifikasi', 'bleng', 'putih', 'muncul', 'verifikasi', 'geser', 'masukan', 'kode', 'coba', 'kali', 'aja', 'muncul', 'bleng', 'putih', 'payahhh']","['bikin', 'akun', 'verifikasi', 'bleng', 'putih', 'muncul', 'verifikasi', 'geser', 'masuk', 'kode', 'coba', 'kali', 'aja', 'muncul', 'bleng', 'putih', 'payahhh']",bikin akun verifikasi bleng putih muncul verifikasi geser masuk kode coba kali aja muncul bleng putih payahhh
memuaskannnnnnnn pisannnnnnn,memuaskannnnnnnn pisannnnnnn,memuaskannnnnnnn pisannnnnnn,memuaskannnnnnnn pisannnnnnn,"['memuaskannnnnnnn', 'pisannnnnnn']","['memuaskannnnnnnn', 'pisannnnnnn']","['memuaskannnnnnnn', 'pisannnnnnn']",memuaskannnnnnnn pisannnnnnn
"Kenapa sekarang suka keluar sendiri ya,padahal sudah versi terbaru😇",Kenapa sekarang suka keluar sendiri ya padahal sudah versi terbaru,kenapa sekarang suka keluar sendiri ya padahal sudah versi terbaru,kenapa sekarang suka keluar sendiri ya padahal sudah versi terbaru,"['kenapa', 'sekarang', 'suka', 'keluar', 'sendiri', 'ya', 'padahal', 'sudah', 'versi', 'terbaru']","['suka', 'versi', 'terbaru']","['suka', 'versi', 'baru']",suka versi baru
"huuuuuuu pembohong publik,katanya geratis volce kalau telat dan super cepat",huuuuuuu pembohong publik katanya geratis volce kalau telat dan super cepat,huuuuuuu pembohong publik katanya geratis volce kalau telat dan super cepat,huuuuuuu pembohong publik katanya geratis volce kalau telat dan super cepat,"['huuuuuuu', 'pembohong', 'publik', 'katanya', 'geratis', 'volce', 'kalau', 'telat', 'dan', 'super', 'cepat']","['huuuuuuu', 'pembohong', 'publik', 'geratis', 'volce', 'telat', 'super', 'cepat']","['huuuuuuu', 'bohong', 'publik', 'gerat', 'volce', 'telat', 'super', 'cepat']",huuuuuuu bohong publik gerat volce telat super cepat
pake shopee lebih aman dan membantu...,pake shopee lebih aman dan membantu,pake shopee lebih aman dan membantu,pake shopee lebih aman dan membantu,"['pake', 'shopee', 'lebih', 'aman', 'dan', 'membantu']","['pake', 'shopee', 'aman', 'membantu']","['pake', 'shopee', 'aman', 'bantu']",pake shopee aman bantu
barang sesuai pesanan dan cepat pengirimannya,barang sesuai pesanan dan cepat pengirimannya,barang sesuai pesanan dan cepat pengirimannya,barang sesuai pesanan dan cepat pengirimannya,"['barang', 'sesuai', 'pesanan', 'dan', 'cepat', 'pengirimannya']","['barang', 'sesuai', 'pesanan', 'cepat', 'pengirimannya']","['barang', 'sesuai', 'pesan', 'cepat', 'kirim']",barang sesuai pesan cepat kirim
baguss banget pengirimannya cepattt,baguss banget pengirimannya cepattt,baguss banget pengirimannya cepattt,baguss banget pengirimannya cepattt,"['baguss', 'banget', 'pengirimannya', 'cepattt']","['baguss', 'pengirimannya', 'cepattt']","['baguss', 'kirim', 'cepattt']",baguss kirim cepattt
"pelayanan memuaskan, kurir JNE sangat memuaskan dan ⁵pelayanan",pelayanan memuaskan kurir JNE sangat memuaskan dan pelayanan,pelayanan memuaskan kurir jne sangat memuaskan dan pelayanan,pelayanan memuaskan kurir jne sangat memuaskan dan pelayanan,"['pelayanan', 'memuaskan', 'kurir', 'jne', 'sangat', 'memuaskan', 'dan', 'pelayanan']","['pelayanan', 'memuaskan', 'kurir', 'jne', 'memuaskan', 'pelayanan']","['layan', 'muas', 'kurir', 'jne', 'muas', 'layan']",layan muas kurir jne muas layan
apk sangat membantu,apk sangat membantu,apk sangat membantu,apk sangat membantu,"['apk', 'sangat', 'membantu']","['apk', 'membantu']","['apk', 'bantu']",apk bantu
sangat membantu sampe bingung kebanyakan pilihan,sangat membantu sampe bingung kebanyakan pilihan,sangat membantu sampe bingung kebanyakan pilihan,sangat membantu sampe bingung kebanyakan pilihan,"['sangat', 'membantu', 'sampe', 'bingung', 'kebanyakan', 'pilihan']","['membantu', 'sampe', 'bingung', 'kebanyakan', 'pilihan']","['bantu', 'sampe', 'bingung', 'banyak', 'pilih']",bantu sampe bingung banyak pilih
"bener bener kecewa padahal saya tidak pernah telat bayar dan shopee meter saya sangat baik 720 sekor nya,tapi s pinjam saya di bekukan aneh sekali,tau gitu udah aja jangan di bayarin kecewa banget",bener bener kecewa padahal saya tidak pernah telat bayar dan shopee meter saya sangat baik sekor nya tapi s pinjam saya di bekukan aneh sekali tau gitu udah aja jangan di bayarin kecewa banget,bener bener kecewa padahal saya tidak pernah telat bayar dan shopee meter saya sangat baik sekor nya tapi s pinjam saya di bekukan aneh sekali tau gitu udah aja jangan di bayarin kecewa banget,bener bener kecewa padahal saya tidak pernah telat bayar dan shopee meter saya sangat baik sekor nya tapi s pinjam saya di bekukan aneh sekali tau gitu sudah aja jangan di bayarin kecewa banget,"['bener', 'bener', 'kecewa', 'padahal', 'saya', 'tidak', 'pernah', 'telat', 'bayar', 'dan', 'shopee', 'meter', 'saya', 'sangat', 'baik', 'sekor', 'nya', 'tapi', 's', 'pinjam', 'saya', 'di', 'bekukan', 'aneh', 'sekali', 'tau', 'gitu', 'sudah', 'aja', 'jangan', 'di', 'bayarin', 'kecewa', 'banget']","['bener', 'bener', 'kecewa', 'telat', 'bayar', 'shopee', 'meter', 'sekor', 'pinjam', 'bekukan', 'aneh', 'tau', 'gitu', 'aja', 'bayarin', 'kecewa']","['bener', 'bener', 'kecewa', 'telat', 'bayar', 'shopee', 'meter', 'kor', 'pinjam', 'beku', 'aneh', 'tau', 'gitu', 'aja', 'bayarin', 'kecewa']",bener bener kecewa telat bayar shopee meter kor pinjam beku aneh tau gitu aja bayarin kecewa
sangat bagus berkualitas,sangat bagus berkualitas,sangat bagus berkualitas,sangat bagus berkualitas,"['sangat', 'bagus', 'berkualitas']","['bagus', 'berkualitas']","['bagus', 'kualitas']",bagus kualitas
"cukup memudahkan berbelanja,dan tidak usah keluar rumah",cukup memudahkan berbelanja dan tidak usah keluar rumah,cukup memudahkan berbelanja dan tidak usah keluar rumah,cukup memudahkan berbelanja dan tidak usah keluar rumah,"['cukup', 'memudahkan', 'berbelanja', 'dan', 'tidak', 'usah', 'keluar', 'rumah']","['memudahkan', 'berbelanja', 'rumah']","['mudah', 'belanja', 'rumah']",mudah belanja rumah
bagus dan cepat pelayanananya,bagus dan cepat pelayanananya,bagus dan cepat pelayanananya,bagus dan cepat pelayanananya,"['bagus', 'dan', 'cepat', 'pelayanananya']","['bagus', 'cepat', 'pelayanananya']","['bagus', 'cepat', 'pelayanananya']",bagus cepat pelayanananya
semoga sukses selalu dan tetap semangat dan terus berkarya dan bermanfaat,semoga sukses selalu dan tetap semangat dan terus berkarya dan bermanfaat,semoga sukses selalu dan tetap semangat dan terus berkarya dan bermanfaat,semoga sukses selalu dan tetap semangat dan terus berkarya dan bermanfaat,"['semoga', 'sukses', 'selalu', 'dan', 'tetap', 'semangat', 'dan', 'terus', 'berkarya', 'dan', 'bermanfaat']","['semoga', 'sukses', 'semangat', 'berkarya', 'bermanfaat']","['moga', 'sukses', 'semangat', 'karya', 'manfaat']",moga sukses semangat karya manfaat
solusi belanja murah dan komplit cepat walaupun kadang ada yg bermasalah...tapi sangat membantu memenuhi kebutuhan,solusi belanja murah dan komplit cepat walaupun kadang ada yg bermasalah tapi sangat membantu memenuhi kebutuhan,solusi belanja murah dan komplit cepat walaupun kadang ada yg bermasalah tapi sangat membantu memenuhi kebutuhan,solusi belanja murah dan komplit cepat walaupun kadang ada yang bermasalah tapi sangat membantu memenuhi kebutuhan,"['solusi', 'belanja', 'murah', 'dan', 'komplit', 'cepat', 'walaupun', 'kadang', 'ada', 'yang', 'bermasalah', 'tapi', 'sangat', 'membantu', 'memenuhi', 'kebutuhan']","['solusi', 'belanja', 'murah', 'komplit', 'cepat', 'kadang', 'bermasalah', 'membantu', 'memenuhi', 'kebutuhan']","['solusi', 'belanja', 'murah', 'komplit', 'cepat', 'kadang', 'masalah', 'bantu', 'penuh', 'butuh']",solusi belanja murah komplit cepat kadang masalah bantu penuh butuh
